"year","state","total"
"2014","AK",304
"2014","AL",1115087
"2014","AR",517418
"2014","AS",0
"2014","AZ",1596122
"2014","CA",13205098
"2014","CO",1285308
"2014","CT",1078238
"2014","DC",997136
"2014","DE",267312
"2014","FL",6771970
"2014","GA",2983190
"2014","GU",0
"2014","HI",9
"2014","IA",686930
"2014","ID",247525
"2014","IL",3436511
"2014","IN",1393557
"2014","KS",736001
"2014","KY",989649
"2014","LA",1202245
"2014","MA",2227295
"2014","MD",1661593
"2014","ME",323414
"2014","MI",2270661
"2014","MN",1275448
"2014","MO",1613724
"2014","MP",0
"2014","MS",466704
"2014","MT",127301
"2014","NC",2494063
"2014","ND",190109
"2014","NE",494961
"2014","NH",292124
"2014","NJ",2959480
"2014","NM",391192
"2014","NV",1370138
"2014","NY",7508816
"2014","OH",2828039
"2014","OK",1114414
"2014","OR",1424089
"2014","PA",3096437
"2014","PR",5
"2014","RI",389431
"2014","SC",1500194
"2014","SD",139669
"2014","TN",1639583
"2014","TX",7716691
"2014","UM",0
"2014","UT",568496
"2014","VA",2280366
"2014","VI",0
"2014","VT",144301
"2014","WA",1732900
"2014","WI",1288646
"2014","WV",376261
"2014","WY",94495
"2015","AK",449
"2015","AL",1189409
"2015","AR",730261
"2015","AS",0
"2015","AZ",2059686
"2015","CA",14308614
"2015","CO",2191045
"2015","CT",1114051
"2015","DC",901093
"2015","DE",273449
"2015","FL",7989802
"2015","GA",3571345
"2015","GU",0
"2015","HI",4
"2015","IA",660849
"2015","ID",298838
"2015","IL",3757231
"2015","IN",1773651
"2015","KS",865691
"2015","KY",1031687
"2015","LA",1327747
"2015","MA",2847357
"2015","MD",1885304
"2015","ME",311021
"2015","MI",2245258
"2015","MN",1464134
"2015","MO",2212755
"2015","MP",0
"2015","MS",522144
"2015","MT",281977
"2015","NC",2863818
"2015","ND",240327
"2015","NE",593770
"2015","NH",405857
"2015","NJ",2945559
"2015","NM",567770
"2015","NV",1370008
"2015","NY",7362323
"2015","OH",3636981
"2015","OK",1376313
"2015","OR",1738507
"2015","PA",3267961
"2015","PR",5
"2015","RI",402050
"2015","SC",1578095
"2015","SD",145979
"2015","TN",1885993
"2015","TX",8523270
"2015","UM",0
"2015","UT",681863
"2015","VA",2799054
"2015","VI",0
"2015","VT",215042
"2015","WA",2415091
"2015","WI",1539419
"2015","WV",359639
"2015","WY",138091
